Регистрационный номер|Дата внесения записи|Полное наименование организации|Основной государственный регистрационный номер организации по ЕГРЮЛ|Основной государственный регистрационный номер организации по ЕГРЮЛ актуальный|Идентификационный номер налогоплательщика|Дата и номер решения  о государственной аккредитации|Сведения об изменениях, внесенных в содержащиеся в реестре сведения об аккредитованной организации (при наличии)|Справочно место регистрации организации / почтовый адрес
118|2008-05-07 00:00:00|ФГУП «Федеральный центр информатизации Счетной палаты Российской Федерации»|1027709010889|1027709010889|7704244863|№ 145 от 06.05.2008||б-р Зубовский, д. 21-23, стр. 2, г. Москва, 119021
119|2008-05-07 00:00:00|Общество с ограниченной ответственностью «Астрософт»|1057812926148|1057812926148|7802338686|№ 146 от 06.05.2008||ул. Кантемировская, д. 39, лит. А, пом. 3Н, г. Санкт-Петербург, 194100
120|2008-05-07 00:00:00|Общество с ограниченной ответственностью «Интегрум»|1053458070247|1053458070247|3426010934|№ 147 от 06.05.2008||ул. Строительная, д. 40А, рабочий поселок Светлый Яр, Светлоярский р-н, Волгоградская обл., 404171
121|2008-05-19 00:00:00|Общество с ограниченной ответственностью «Спутник Лабс Консалтинг»|5077746981186|5077746981186|7705797740|№ 155 от 16.05.2008||ул. Деловая, д. 11, корп. 1, г. Москва 115477
122|2008-06-07 00:00:00|Общество с ограниченной ответственностью «Научно-технический центр «КомпАС»|1027700568554|1027700568554|7703014828|№ 175 от 07.06.2008||пр-т Ленинградский, д. 47, стр. 4, г. Москва, 125167
123|2008-06-07 00:00:00|ФГУП Научно-исследовательский и конструкторско-технологический институт «Тест»|1037816034222|1037816034222|7806011836|№ 176 от 07.06.2008||пр-т Лиговский, д. 56Б, г. Санкт-Петербург, 191040
124|2008-06-07 00:00:00|Акционерное общество «Эр-Стайл Софтлаб»|1027700301991|1027700301991|7719198440|№ 177 от 07.06.2008 (в ред. от 17.06.2015 № 205)||пр-т Буденного, д. 1/1, г. Москва, 105118
125|2008-06-07 00:00:00|Закрытое акционерное общество «Инфо Индастриз Груп»|1027739093689|1027739093689|7713316391|№ 179 от 07.06.2008||б-р Бескудниковский, д. 12, стр. 1, г. Москва, 127474
126|2008-06-07 00:00:00|Общество с ограниченной ответственностью «Центр информационных технологий»|1077325001610|1077325001610|7325068438|№ 167 от 07.06.2008||ул. Урицкого, д. 98А, г. Ульяновск, Ульяновская обл., 432071
127|2008-06-07 00:00:00|Закрытое акционерное общество «Синергетические системы»|1067746722141|1067746722141|7717561161|№ 168 от 07.06.2008||ул. Новоалексеевская, д. 19, корп. 2, г. Москва, 129626
128|2008-06-07 00:00:00|Общество с ограниченной ответственностью «Октавиан Гейм Арт»|1047855161199|1047855161199|7814310710|№ 169 от 07.06.2008|13.02.2020 полное наименование организации изменено с «Общество с ограниченной ответственностью «АЛС ГРУПП» на «Общество с ограниченной ответственностью «Октавиан Гейм Арт», (Савинова О.О.)|пр-т Кондратьевский, д. 15, корп. 3, г. Санкт-Петербург, 195197
129|2008-06-07 00:00:00|Общество с ограниченной ответственностью «Артезио»|1037739024542|1037739024542|7733105141|№ 170 от 07.06.2008||ш. Пятницкое, д. 36, корп. 1, г. Москва, 123430
130|2008-06-07 00:00:00|Общество с ограниченной ответственностью «КРИПТО-ПРО»|1037700085444|1037700085444|7717107991|№ 171 от 07.06.2008||ул. Ибрагимова, д. 31, офис 30Б, г. Москва, 105318
131|2008-06-07 00:00:00|Закрытое акционерное общество «Корпорация ЗНАК»|1047796533465|1047796533465|7706544541|№ 172 от 07.06.2008||ул. Башиловская, д. 12, стр.1, г. Москва, 127220
132|2008-06-07 00:00:00|Общество с ограниченной ответственностью «О.К. Компьютер»|1077762406457|1077762406457|7743666770|№ 173 от 07.06.2008||ул. Усиевича, д. 31, корп. 3, г. Москва, 125315
133|2008-06-07 00:00:00|Общество с ограниченной ответственностью «ИТ Энерго-Консалт»|1046602668970|1046602668970|6658191193|№ 174 от 07.06.2008||ул. Красноармейская, д. 4 «Б», г. Екатеринбург, Свердловская обл., 620219
134|2008-06-27 00:00:00|Закрытое акционерное общество «Прогноз»|1025900756683|1025900756683|5903037635|№ 61 от 15.02.2008||ул. Сергея Данщина, д. 5, г. Пермь, Пермский край, 614068
135|2008-06-30 00:00:00|Общество с ограниченной ответственностью «Информационные системы «Э-Куб»|1057748069840|1057748069840|7704569205|№ 184 от 27.06.2008||пер. Староваганьковский, д. 19, стр. 7, г. Москва, 119019
136|2008-06-30 00:00:00|Общество с ограниченной ответственностью «МедиаСпутник»|1027739392560|1027739392560|7710327300|№ 185 от 27.06.2008||ш. Ярославское, д. 19, стр. 1, г. Москва, 129337
137|2008-06-30 00:00:00|Общество с ограниченной ответственностью «Эксперт-Система»|1037828058597|1037828058597|7813189108|№ 186 от 27.06.2008||ул. Барочная, д. 10,1, лит. А, г. Санкт- Петербург, 197022
138|2008-06-30 00:00:00|Общество с ограниченной ответственностью «Гвард-Информ»|1027100971182|1027100971182|7107065081|№ 187 от 27.06.2008||пр-т Ленина, д. 46, офис 322, г. Тула, Тульская обл., 300041
